LABELS
SEPARATOR COMMA
DATA
GCA_026401175.1,T. afroharzianum BJ232-4
GCA_033847375.1,T. aggressivum f. europaeum CBS 100526
GCA_003012105.1,T. arundinaceum IBT 40837
GCA_026401225.1,T. asperelloides BJ152-42
GCA_003025105.1,T. asperellum CBS 433.97
GCA_000171015.2,T. atroviride IMI 206040 TRIAT v2.0
GCA_028502605.1,T. breve T069
GCA_003012085.1,T. brevicompactum IBT 40841
GCA_003025115.1,T. citrinoviride TUCIM 6016
GCA_020631695.1,T. cornu-damae KA19-0412C
GCA_035079495.1,T. endophyticum LA29
GCA_013365115.1,T. erinaceum CRRI-T2N1
GCA_001481775.2,T. gamsii T6085
GCA_020002365.1,T. gracile HK011-1
GCA_002022785.1,T. guizhouense NJAU 4742
GCA_000331835.2,T. hamatum GD12
GCA_003025095.1,T. harzianum CBS 226.95
GCA_021186515.1,T. harzianum ZL-811
Trichoderma_hypoxylon,T. hypoxylon
GCA_001950475.1,T. koningii JCM 1883
GCA_002246955.1,T. koningiopsis POS7
GCA_011066345.1,T. lentiforme CFAM-422
GCA_003025155.1,T. longibrachiatum ATCC 18648
GCA_015266385.1,T. oligosporum CGMCC 3.17527
GCA_023653515.1,T. orchidacearum COAD 3006
GCA_001050175.1,T. parareesei CBS 125925
GCA_030278935.1,T. polysporum HZ-31
GCA_943193705.1,T. pseudokoningii
GCA_002006585.1,T. reesei QM6a
GCA_020045945.2,T. semiorbis FJ059
GCA_019565615.1,T. simmonsii GH-Sj1
GCA_000170995.2,T. virens Gv29-8 TRIVI v2.0
GCA_036169675.1,T. viride OSK-36
GCA_001931985.1,T. sp. IMV 00454
GCA_029844175.1,T. sp. CBMAI-0179
GCA_030708095.1,T. sp. CBMAI-0020
GCA_023628735.1,T. sp. PF4103
GCA_030708105.1,T. sp. CBMAI-0711
GCA_001721665.1,T. pleuroti TPhu1
GCA_001278495.1,Escovopsis weberi
